project,snapshot,date,cyclic_module
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/FoodNews
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/FoodPhoto
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/Games
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/History
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/MenuScan
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/MyMenuCal
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/MyMenuCal/Analytics
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/ReceiptScan
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/ReceiptScan/DishCalorie
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/Recipes
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/Recipes/RecipeDetail
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/Recipes/RecipeEditor
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/Recipes/RecipeGrid
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/Recipes/RecipeGrid/MyRecipe
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/Recipes/Search
MenuCal,MenuCal_backup_20260102,2026-01-02,MenuCal/MenuCal_backup_20260102/Features/Setting
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/App
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/DevTools
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/AutoDetection
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/Barcode
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/Favorite
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/FindRetaurants
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/FoodNews
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/FoodPhoto
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/Games
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/History
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/MenuScan
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/MyMenuCal
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/MyMenuCal/Analytics
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/ReceiptScan
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/ReceiptScan/DishCalorie
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/Recipes
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/Recipes/RecipeDetail
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/Recipes/RecipeEditor
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/Recipes/RecipeGrid
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/Recipes/RecipeGrid/MyRecipe
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/Recipes/Search
MenuCal,MenuCal_backup_20260103,2026-01-03,MenuCal/MenuCal_backup_20260103/Features/Setting
